driver_id,month_,Life_time
002be0ffdc997bd5c50703158b7c2491,3,8.561134441
002be0ffdc997bd5c50703158b7c2491,4,10.78432624
002be0ffdc997bd5c50703158b7c2491,5,12.35450237
002be0ffdc997bd5c50703158b7c2491,6,10.57732131
007f0389f9c7b03ef97098422f902e62,3,12.00097719
007f0389f9c7b03ef97098422f902e62,4,8.949544408
007f0389f9c7b03ef97098422f902e62,5,10.29436403
007f0389f9c7b03ef97098422f902e62,6,7.682906443
011e5c5dfc5c2c92501b8b24d47509bc,4,12.61698081
011e5c5dfc5c2c92501b8b24d47509bc,5,9.305323153
011e5c5dfc5c2c92501b8b24d47509bc,6,8.986749299
0152a2f305e71d26cc964f8d4411add9,4,13.93400518
0152a2f305e71d26cc964f8d4411add9,5,10.43852058
0152a2f305e71d26cc964f8d4411add9,6,13.26077673
01674381af7edd264113d4e6ed55ecda,4,15.64357449
01674381af7edd264113d4e6ed55ecda,5,12.65602566
01674381af7edd264113d4e6ed55ecda,6,13.80094953
0213f8b59219e32142711992ca4ec01f,4,11.51139422
0213f8b59219e32142711992ca4ec01f,5,10.5621179
021e5cd15ef0bb3ec20a12af99e142b3,5,11.22811611
021e5cd15ef0bb3ec20a12af99e142b3,6,10.45030093
0258e250ca195cc6258cbdc75aecd853,4,11.19783003
0258e250ca195cc6258cbdc75aecd853,5,12.59882544
0258e250ca195cc6258cbdc75aecd853,6,12.80823988
028b5a4dcd7f4924ebfabcf2e814c014,5,11.68269505
028b5a4dcd7f4924ebfabcf2e814c014,6,13.91842924
02d6a6b8a6da15fc219a9570f7ebbe78,5,16.12161874
02d6a6b8a6da15fc219a9570f7ebbe78,6,33.87060305
02e440f6c209206375833cef02e0cbae,3,31.92812617
02e440f6c209206375833cef02e0cbae,4,11.15895128
02e440f6c209206375833cef02e0cbae,5,18.70577546
036f3d94e7c65e4e3574822d31c72656,4,14.73184257
036f3d94e7c65e4e3574822d31c72656,5,13.3308292
036f3d94e7c65e4e3574822d31c72656,6,12.10278086
039c5afbca8e03e4c18d9c8ea94140ac,4,8.363032095
039c5afbca8e03e4c18d9c8ea94140ac,5,15.78073938
039c5afbca8e03e4c18d9c8ea94140ac,6,8.675792872
039da9c077e17af98ca8530e4d7975f1,5,10.44829232
039da9c077e17af98ca8530e4d7975f1,6,10.57748562
03f2b5c74cb89f39e58711699e76bf39,4,11.58180224
03f2b5c74cb89f39e58711699e76bf39,5,11.14827795
03f2b5c74cb89f39e58711699e76bf39,6,12.21157338
03f5278eb43475aa6790f5be32463755,4,10.27925562
03f5278eb43475aa6790f5be32463755,5,12.71749025
03f5278eb43475aa6790f5be32463755,6,10.90202334
0430df9a3eb327122c57ee3a64765000,4,11.48636251
04c4ffa5a385eab86fa7e422263d2999,4,12.50575821
04c4ffa5a385eab86fa7e422263d2999,5,12.89438528
04d686ef2fba281e395992a28f14fdd3,5,14.11363573
04d686ef2fba281e395992a28f14fdd3,6,12.03554127
052bba06c5fc0bdea4bc2f9cb92b37c7,4,9.54823369
052bba06c5fc0bdea4bc2f9cb92b37c7,5,14.30471963
052bba06c5fc0bdea4bc2f9cb92b37c7,6,9.701551126
059ed570673c2d15ca11dd6b3a25513b,5,14.84874572
059ed570673c2d15ca11dd6b3a25513b,6,13.37497173
05addf442c147875efa5cf53453ad47b,4,10.63595097
05addf442c147875efa5cf53453ad47b,5,12.72682179
05addf442c147875efa5cf53453ad47b,6,12.18095167
05bad02e08c7f849e91dc1259da8b4ec,5,12.63978457
05bad02e08c7f849e91dc1259da8b4ec,6,14.66842707
0656192a402808805282e60761bda088,4,11.92742433
0656192a402808805282e60761bda088,5,12.1219929
0656192a402808805282e60761bda088,6,12.46057705
06b1ba06e5505f8218ec8686498f990a,5,10.21459754
06c848ab3a7fc5421e82e98850a81710,4,10.96324569
06c848ab3a7fc5421e82e98850a81710,5,10.07064317
06c848ab3a7fc5421e82e98850a81710,6,12.77968376
07dd442e3e0b9f0f9b0d69c7b47cbb06,4,10.88580487
